time,L1AccX_filtered,L2AccX_filtered,L3AccX_filtered
28.34,-0.000580479413222482,0.00101850514383167,-0.000844823859547747
28.345,-0.00494282885823645,0.00518440959683775,-0.00256179876768347
28.35,-0.00834226511622572,0.0083297804641692,-0.00376623875864925
28.355,-0.0100490432145555,0.00977782822135666,-0.00422965616700046
28.36,-0.0096755372877074,0.00919247011929759,-0.00385744904714196
28.365,-0.00726738078616713,0.0066656795521728,-0.00271753603985806
28.37,-0.00333102851561904,0.00272147815102569,-0.00105903074414741
28.375,0.00133144155138281,-0.00182055205745694,0.000795975219507017
28.38,0.00572995577161335,-0.00600171784572631,0.00246239798669426
28.385,0.00892341341369421,-0.00891739593244099,0.00361177246940441
28.39,0.010234268237283,-0.00994583000693243,0.0040149531661952
28.395,0.0093779818277746,-0.00886316259831342,0.00360337549190183
28.4,0.00653289719520207,-0.00588863783935174,0.00247594811869868
28.405,0.00231334618096585,-0.00165749119094448,0.000880450315266685
28.41,-0.0023753887257834,0.00291513589552733,-0.00084680525511799
28.415,-0.00652656282256194,0.0068415166951559,-0.00235671075839409
28.42,-0.00925074196437963,0.00928520742541068,-0.00333308387811138
28.425,-0.0099631151351889,0.00970899348525476,-0.00358924644905749
28.43,-0.00852467214425107,0.00802239845114225,-0.00309859137308856
28.435,-0.00526678794939944,0.00460109002615014,-0.00197230155162299
28.44,-0.000892040990023389,0.000194055496817321,-0.000473444497176104
28.445,0.00362441747831844,-0.00424187552996575,0.00106652983794837
28.45,0.00730165785518478,-0.00772324543086902,0.00232443965049397
28.455,0.00935479325171381,-0.0094909868447179,0.00303938826712721
28.46,0.00933757472251427,-0.00916758442218593,0.00306811184685322
28.465,0.007266337435456,-0.00682741106537669,0.00242217531859123
28.47,0.00362753920826789,-0.00298685722448802,0.00127673297648016
28.475,-0.000782857611774845,0.00150034712554076,-0.000116150407137515
28.48,-0.00498089490821709,0.00563997023147933,-0.00143518348833489
28.485,-0.00804105048392735,0.00852147207875158,-0.00238991119644718
28.49,-0.0092967773604017,0.00951380262055963,-0.00277751739503034
28.495,-0.00848318212916311,0.00839445604351918,-0.00252560935957669
28.5,-0.00578244061205595,0.00541264561570016,-0.00169738348148055
28.505,-0.00181050692793318,0.00123448275212632,-0.000493493533167423
28.51,0.00253306428522438,-0.00323072663871026,0.000808736515078143
28.515,0.00630548437606069,-0.00698834862823913,0.00191178894667037
28.52,0.00865884562182606,-0.00920226110497003,0.00256712792707209
28.525,0.0090717549231627,-0.00939015630336553,0.00262424532157233
28.53,0.00747543322492845,-0.00751353835826785,0.00207304860108182
28.535,0.00422272412147543,-0.00396807140591778,0.0010308558704925
28.54,2.90835282771323e-05,0.000459286852548324,-0.000260450636090597
28.545,-0.00415837000984711,0.0047956195957018,-0.00150621973133122
28.55,-0.00743088892855398,0.00809784194825362,-0.00242938317219061
28.555,-0.00907145356389262,0.00964302364678871,-0.00281318923352278
