time,tableAccX_filtered,L1AccX_filtered,L2AccX_filtered,L3AccX_filtered
46.38,0.0206800579076794,-0.0216603809918093,-0.0461027558546304,-0.109126182655549
46.385,0.0201866473445398,-0.031739390368396,-0.0494655243745916,-0.103457782027911
46.39,0.0193981621148092,-0.0295202578359925,-0.0448065382852486,-0.103859542915066
46.395,0.0183627905193905,-0.0176826236858523,-0.0338780721133551,-0.110505716850079
46.4,0.0171872161116686,-0.0051261607008897,-0.0217793872858847,-0.119702142171197
46.405,0.0160085654340597,-0.00165633362206159,-0.0144973582357771,-0.126232641249776
46.41,0.0149766400773257,-0.011799111616468,-0.015692187258242,-0.126600086734244
46.415,0.0142191564943942,-0.0317072176692214,-0.0247658699868367,-0.121093304215456
46.42,0.0138117459021183,-0.0510469683852704,-0.0372885559766737,-0.113628709771905
46.425,0.0137675773954561,-0.0589664486895567,-0.0474187377536718,-0.10914585136409
46.43,0.0140040586035335,-0.0504189251915592,-0.0511200920749553,-0.110460740338584
46.435,0.0143434367189224,-0.0294625342905047,-0.0483442399489086,-0.116539936741827
46.44,0.0145563188710342,-0.0071952874666702,-0.0428981377323991,-0.123009990316324
46.445,0.0144540958460381,0.00435247253706271,-0.0399060017233911,-0.125028009851801
46.45,0.0139863158949992,-0.0009275017859699,-0.042682591148743,-0.12045317478844
46.455,0.0132917344152271,-0.0198840052185054,-0.0505198266531451,-0.111459115592666
46.46,0.0126654082183816,-0.0418214167065756,-0.0587882020893428,-0.103418234563189
46.465,0.0124440883536505,-0.0546668729948209,-0.0615997395305874,-0.101727171954517
46.47,0.0128266309625005,-0.0517888151407511,-0.0552630416087969,-0.108281166632321
46.475,0.0137637426424843,-0.035487877751591,-0.0406252775183056,-0.119950693846258
46.48,0.0149435748211065,-0.0155122903810421,-0.0229784692341442,-0.129995869997078
46.485,0.0159282878350257,-0.00308559049731419,-0.0094090052053175,-0.131600781534755
46.49,0.016339456144005,-0.00424953197304149,-0.00495877294536607,-0.12183580262376
46.495,0.0160386340977607,-0.0163086405959876,-0.00993842384446601,-0.10342575865652
46.5,0.0151695825511131,-0.0295930319322609,-0.0197159681988205,-0.0833564979291457
46.505,0.014070540393353,-0.0331488040414553,-0.0272629776021843,-0.069183901643443
46.51,0.013079398628868,-0.0214649819150756,-0.0268345747317405,-0.0648983587422766
46.515,0.0123618652129247,0.00191573946713816,-0.0169249700527868,-0.0687225839277928
46.52,0.0118266910556661,0.0260305369328072,-0.000876292415753256,-0.0743218114023323
46.525,0.0111885790752088,0.038500388861201,0.0151846837521411,-0.074433897216538
46.53,0.0101279413656089,0.0323952447395048,0.0258371801483148,-0.0649618608082605
46.535,0.00846475876313722,0.0103236945694295,0.0291300480355584,-0.0473264807326071
46.54,0.00628302841108532,-0.0168285208768348,0.0272698000940552,-0.0277111395143697
46.545,0.00390883456865496,-0.0357971953753544,0.0249987690094794,-0.0134328573954218
46.55,0.00182617530830402,-0.0379792923712206,0.0265504028119223,-0.00893778036529641
46.555,0.000530767074464607,-0.0239265337523663,0.032986599513112,-0.0133216827121097
46.56,0.000379777562484729,-0.0027010943892625,0.0416738398233497,-0.0207914248594433
46.565,0.00147545316089681,0.0134097393454967,0.0478301757784961,-0.0238836764397223
46.57,0.00363843166714914,0.0159443457582712,0.0474000223309465,-0.017688247894243
46.575,0.00641405345846238,0.00494550903095852,0.0395045630500794,-0.00238924188161975
46.58,0.0091718893503122,-0.0113498147576572,0.0273282169158596,0.0168250844055006
46.585,0.0112767073041285,-0.021316788985284,0.016451002999096,0.0324905634035672
46.59,0.0122849946659336,-0.0167315778727447,0.0121843492780137,0.038985543052292
46.595,0.0121201057063719,0.00235007530928636,0.0169321874292063,0.0353639348776912
46.6,0.0111227694287387,0.0275179285192074,0.029233782864236,0.0255965761787591
46.605,0.00994285135256191,0.0465939046743548,0.0447957990429013,0.0163241227483568
46.61,0.00928276306965117,0.0503140189671259,0.0590446151439214,0.0131940266355732
46.615,0.00959108964345768,0.0375458313413814,0.0694705254941658,0.0180250992572152
46.62,0.010861652494178,0.0158814595185206,0.0765898841157151,0.0281928162783897
46.625,0.0126346175632009,-0.00237627431174257,0.0829839519821649,0.038521563595262
46.63,0.0142433125227753,-0.00678069571934984,0.091194863200089,0.0444716351854512
46.635,0.0151656868275643,0.00579800659616875,0.10165054341081,0.0446913713532138
46.64,0.0153081788576606,0.029771687150185,0.111955579734043,0.0417030101589114
46.645,0.0150786935983422,0.0541040011147577,0.118174144980409,0.0401222193536872
46.65,0.0151628239004808,0.0683990907167245,0.11711566331341,0.0439081651658543
46.655,0.0161494283337921,0.0682420444065038,0.108353102099685,0.0537535639684446
46.66,0.0181955802714899,0.0570557245308732,0.0948597136985902,0.0666978980250837
46.665,0.0209236197378979,0.0435828151512526,0.0817867329404923,0.0777261201405452
46.67,0.0236216493465964,0.0364170328665348,0.0738109135893753,0.0823974836817767
46.675,0.0256269717999307,0.0389795320484875,0.0730003821980292,0.0792825132626775
46.68,0.026672442982455,0.0477504412234614,0.0779543026074162,0.0706141022303296
46.685,0.0270047017492221,0.0545644574939006,0.0847872806640997,0.0608477417547966
46.69,0.0271815758604967,0.0516890530833742,0.0893766898373379,0.0541617573665598
46.695,0.0276856525981971,0.0367774443103043,0.0895416604671908,0.0524340295068837
46.7,0.0285821431109028,0.0145741725353171,0.0858609359919097,0.0545061678152228
46.705,0.0294408926827407,-0.00532997502301477,0.0808477868278304,0.0572705913700133
46.71,0.0295681231462998,-0.0136042416059594,0.0772071687065077,0.0579519811134344
46.715,0.02843584758916,-0.00612848447315279,0.0760901290101428,0.0557760827908382
46.72,0.026038207846933,0.0137368633746773,0.076541668955386,0.0522351559335921
46.725,0.0229880936797398,0.0370927335532886,0.0763783872303859,0.0501072636409843
46.73,0.0202508233364283,0.0541644397287527,0.0739877325531993,0.051404319455022
46.735,0.0187097732201702,0.0591510693546589,0.0695729190167318,0.0558567015405309
46.74,0.0187717187726535,0.0527195648684482,0.0653368333263758,0.0608414671051197
46.745,0.0202341807586769,0.0408390251543685,0.0643536416026389,0.0627802486250229
46.75,0.0224687818985782,0.0309268805502941,0.068634742224323,0.0589670336262764
46.755,0.0247958330648696,0.0276320393423162,0.0776434492605669,0.0492346008709375
46.76,0.0268054000180124,0.0306818106026834,0.0883562105614595,0.0360718841975845
46.765,0.0284606540193346,0.0357735448247238,0.0964623543297076,0.0232116549646444
46.77,0.0299584178714598,0.0378041402699567,0.098395480757396,0.0138532803538113
46.775,0.031463407585131,0.0341937401646029,0.0929760211620664,0.0090915989221841
46.78,0.0329104541387873,0.0265033284682925,0.0817864788144286,0.00764329726615089
46.785,0.0340111310321294,0.0193285227222414,0.0680846543152852,0.00691112833471993
46.79,0.0344403346187838,0.0173990214444285,0.0551883717225122,0.0046234018039469
46.795,0.0340804597558303,0.0225362265650551,0.044978787969902,-2.3896076126762e-05
46.8,0.0331378352168724,0.0324900691163788,0.0374571611435667,-0.0060737534511788
46.805,0.0320557753589512,0.0421496784204475,0.0315260826262872,-0.0117087369961865
46.81,0.0312673854909539,0.0462496124960974,0.0261298221974992,-0.0155992329788976
46.815,0.0309574095168254,0.0421474669026448,0.0212579830735583,-0.0177130490219889
46.82,0.0309499173808893,0.0310371920990954,0.0179497861349997,-0.0193105295135189
46.825,0.030839784249115,0.0169611523066734,0.0175563903006378,-0.0220968574802885
46.83,0.0302492853524594,0.00453720052278633,0.0206215567436648,-0.026989651063765
46.835,0.0290758760905853,-0.00324436045634559,0.0262082278634832,-0.0335353096834027
46.84,0.0275662167910403,-0.00604452358856177,0.0320549566213704,-0.0401193741657781
46.845,0.0261978558377225,-0.00554216289254137,0.0356028132358899,-0.0448627144682225
46.85,0.0253989704617556,-0.00385388871351487,0.0351122958039553,-0.0466406576805019
46.855,0.0253281417375703,-0.00218431864582957,0.0303755895814396,-0.0457626088070882
46.86,0.0257869759098109,-0.000447429479479005,0.0226958966817353,-0.043611184132609
46.865,0.0263546027320979,0.00208668214197692,0.0141043281826732,-0.0418420077799367
46.87,0.0266225184506102,0.00564862497328806,0.00632786476275188,-0.0416948717097777
